,original,filenames,spec,concept,adj,syn_chosen_spec,syn_chosen_concept
APPLE_store_indoor,applestore,"['applestore1.jpg', 'applestore2.jpg', 'applestore4.jpg', 'applestore6.jpg']",APPLE,store,,,shop.n.01
airplane_cabin,airplanecabin,"['airplanecabin1.jpg', 'airplanecabin3.jpg', 'airplanecabin5.jpg', 'airplanecabin6.jpg']",airplane,cabin,,,cabin.n.03
airport_terminal,airportTerminal,"['airportTerminal2.jpg', 'airportTerminal3.jpg', 'airportTerminal4.jpg', 'airportTerminal6.jpg']",,,,,
alley,alley,"['alley1.jpg', 'alley2.jpg', 'alley3.jpg', 'alley4.jpg']",,,,,
amusement,amusement,"['amusement1.jpg', 'amusement2.jpg', 'amusement3.jpg', 'amusement4.jpg']",,,,,
apartment_building,apartmentBuilding,"['apartmentBuilding1.jpg', 'apartmentBuilding2.jpg', 'apartmentBuilding3.jpg', 'apartmentBuilding4.jpg']",,,,,
apple_orchard,appleorchard,"['appleorchard1.jpg', 'appleorchard2.jpg', 'appleorchard3.jpg', 'appleorchard4.jpg']",,,,,
aquarium,aquarium,"['aquarium1.jpg', 'aquarium2.jpg', 'aquarium5.jpg', 'aquarium6.jpg']",,,,,
arcade,arcade,"['arcade1.jpg', 'arcade2.jpg', 'arcade4.jpg', 'arcade5.jpg']",,,,,
art_studio,artStudio,"['artStudio1.jpg', 'artStudio2.jpg', 'artStudio3.jpg', 'artStudio4.jpg']",art,studio,,,studio.n.01
atm,ATM,"['ATM1.jpg', 'ATM2.jpg', 'ATM4.jpg', 'ATM5.jpg']",,,,,
attic,attic,"['attic1.jpg', 'attic2.jpg', 'attic3.jpg', 'attic4.jpg']",,,,,
backstage,backstage,"['backstage1.jpg', 'backstage2.jpg', 'backstage3.jpg', 'backstage5.jpg']",,,,,
backyard,backyard,"['backyard1.jpg', 'backyard2.jpg', 'backyard5.jpg', 'backyard6.jpg']",,,,,
baggage_claim,baggageClaim,"['baggageClaim1.jpg', 'baggageClaim2.jpg', 'baggageClaim3.jpg', 'baggageClaim4.jpg']",,,,,
bakery,bakery,"['bakery1.jpg', 'bakery2.jpg', 'bakery4.jpg', 'bakery5.jpg', 'bakerykitchen.jpg', 'bakerykitchen3.jpg', 'bakerykitchen4.jpg', 'bakerykitchen6.jpg']",,,,,
bakery_kitchen,bakerykitchen,"['bakerykitchen.jpg', 'bakerykitchen3.jpg', 'bakerykitchen4.jpg', 'bakerykitchen6.jpg']",bakery,kitchen,,,kitchen.n.01
balcony,"['balconyOUT','balconyIN']","['balconyOUT.jpg', 'balconyOUT2.jpg', 'balconyOUT5.jpg', 'balconyOUT6.jpg', 'balconyIN.jpg', 'balconyIN2.jpg', 'balconyIN4.jpg', 'balconyIN5.jpg']",,balcony,,,balcony.n.02
ballroom,ballroom,"['ballroom1.jpg', 'ballroom2.jpg', 'ballroom3.jpg', 'ballroom4.jpg']",,,,,
bamboo_forest_outdoor,bambooforest,"['bambooforest.jpg', 'bambooforest3.jpg', 'bambooforest4.jpg', 'bambooforest5.jpg']",bamboo,forest,,,forest.n.01
banquet_hall_indoor,banquetHall,"['banquetHall2.jpg', 'banquetHall4.jpg', 'banquetHall5.jpg', 'banquetHall6.jpg']",banquet,hall,,,hall.n.03
bar,bar,"['bar.jpg', 'bar2.jpg', 'bar8.jpg', 'bar9.jpg', 'barbershop2.jpg', 'barbershop3.jpg', 'barbershop5.jpg', 'barbershop6.jpg']",,,,,
barbershop,barbershop,"['barbershop2.jpg', 'barbershop3.jpg', 'barbershop5.jpg', 'barbershop6.jpg']",,,,,
baseball,baseball,"['baseball1.jpg', 'baseball2.jpg', 'baseball5.jpg', 'baseball6.jpg']",,,,,
basement,basement,"['basement.jpg', 'basement5.jpg', 'basement6.jpg', 'basement8.jpg']",,,,,
basketball_court,basketballcourt,"['basketballcourt.jpg', 'basketballcourt3.jpg', 'basketballcourt4.jpg', 'basketballcourt7.jpg']",,,,,
bathroom_sink,bathroomSink,"['bathroomSink3.jpg', 'bathroomSink5.jpg', 'bathroomSink7.jpg', 'bathroomSink8.jpg']",bathroom,sink,,,sink.n.01
